ParentLocation,Location,Period,Dim1,Dim2,Mortality Value,Mortality Value Low,Mortality Value High,Value
Americas,Canada,2011,Female,Respiratory diseases,8623,4919,11010,8623 [4919-11010]
Americas,Canada,2011,Male,Respiratory diseases,8955,7148,10748,8955 [7148-10748]
Americas,Canada,2010,Both sexes,Respiratory diseases,16903,11765,20840,16903 [11765-20840]
Americas,Canada,2010,Female,Diabetes mellitus,3257,2467,4094,3257 [2467-4094]
Americas,Canada,2010,Male,Cardiovascular diseases,33131,28312,38238,33131 [28312-38238]
Americas,Canada,2010,Female,Cardiovascular diseases,33540,26157,39702,33540 [26157-39702]
Americas,Canada,2010,Female,Malignant neoplasms,34678,28996,40242,34678 [28996-40242]
Americas,Canada,2010,Male,Diabetes mellitus,3707,3068,4434,3707 [3068-4434]
Americas,Canada,2010,Male,Malignant neoplasms,37857,32237,44229,37857 [32237-44229]
Americas,Canada,2010,Both sexes,Cardiovascular diseases,66670,54468,77939,66670 [54468-77939]
Americas,Canada,2010,Both sexes,Diabetes mellitus,6964,5535,8528,6964 [5535-8528]
Americas,Canada,2010,Both sexes,Malignant neoplasms,72535,61233,84472,72535 [61233-84472]
Americas,Canada,2010,Female,Respiratory diseases,8059,4671,10241,8059 [4671-10241]
Americas,Canada,2010,Male,Respiratory diseases,8844,7094,10599,8844 [7094-10599]
Americas,Canada,2009,Both sexes,Respiratory diseases,16665,11608,20494,16665 [11608-20494]
Americas,Canada,2009,Female,Diabetes mellitus,3320,2541,4142,3320 [2541-4142]
Americas,Canada,2009,Male,Cardiovascular diseases,33706,28914,38823,33706 [28914-38823]
Americas,Canada,2009,Female,Cardiovascular diseases,33905,26645,39924,33905 [26645-39924]
Americas,Canada,2009,Female,Malignant neoplasms,33969,28468,39314,33969 [28468-39314]
Americas,Canada,2009,Male,Diabetes mellitus,3618,3007,4311,3618 [3007-4311]
Americas,Canada,2009,Male,Malignant neoplasms,37757,32218,43842,37757 [32218-43842]
Americas,Canada,2009,Both sexes,Cardiovascular diseases,67611,55559,78747,67611 [55559-78747]
Americas,Canada,2009,Both sexes,Diabetes mellitus,6938,5548,8453,6938 [5548-8453]
Americas,Canada,2009,Both sexes,Malignant neoplasms,71726,60686,83156,71726 [60686-83156]
Americas,Canada,2009,Female,Respiratory diseases,8069,4680,10248,8069 [4680-10248]
Americas,Canada,2009,Male,Respiratory diseases,8596,6928,10246,8596 [6928-10246]
Americas,Canada,2008,Both sexes,Respiratory diseases,16621,11680,20377,16621 [11680-20377]
Americas,Canada,2008,Female,Malignant neoplasms,33785,28436,39006,33785 [28436-39006]
Americas,Canada,2008,Male,Cardiovascular diseases,34225,29469,39322,34225 [29469-39322]
Americas,Canada,2008,Female,Cardiovascular diseases,34602,27318,40573,34602 [27318-40573]
Americas,Canada,2008,Female,Diabetes mellitus,3633,2796,4506,3633 [2796-4506]
Americas,Canada,2008,Male,Malignant neoplasms,37412,31942,43181,37412 [31942-43181]
Americas,Canada,2008,Male,Diabetes mellitus,3909,3261,4637,3909 [3261-4637]
Americas,Canada,2008,Both sexes,Cardiovascular diseases,68827,56787,79895,68827 [56787-79895]
Americas,Canada,2008,Both sexes,Malignant neoplasms,71197,60378,82187,71197 [60378-82187]
Americas,Canada,2008,Both sexes,Diabetes mellitus,7542,6057,9144,7542 [6057-9144]
Americas,Canada,2008,Female,Respiratory diseases,7859,4589,9990,7859 [4589-9990]
Americas,Canada,2008,Male,Respiratory diseases,8762,7091,10388,8762 [7091-10388]
Americas,Canada,2007,Both sexes,Respiratory diseases,16335,11568,19926,16335 [11568-19926]
Americas,Canada,2007,Female,Malignant neoplasms,33359,28191,38397,33359 [28191-38397]
Americas,Canada,2007,Male,Cardiovascular diseases,34090,29473,39035,34090 [29473-39035]
Americas,Canada,2007,Female,Cardiovascular diseases,34743,27524,40604,34743 [27524-40604]
Americas,Canada,2007,Female,Diabetes mellitus,3509,2710,4330,3509 [2710-4330]
Americas,Canada,2007,Male,Malignant neoplasms,36898,31537,42260,36898 [31537-42260]
Americas,Canada,2007,Male,Diabetes mellitus,3914,3271,4636,3914 [3271-4636]
Americas,Canada,2007,Both sexes,Cardiovascular diseases,68833,56997,79639,68833 [56997-79639]
Americas,Canada,2007,Both sexes,Malignant neoplasms,70257,59727,80656,70257 [59727-80656]
Americas,Canada,2007,Both sexes,Diabetes mellitus,7423,5981,8965,7423 [5981-8965]
Americas,Canada,2007,Female,Respiratory diseases,7772,4632,9810,7772 [4632-9810]
Americas,Canada,2007,Male,Respiratory diseases,8563,6936,10116,8563 [6936-10116]
Americas,Canada,2006,Both sexes,Respiratory diseases,15287,10900,18617,15287 [10900-18617]
Americas,Canada,2006,Female,Malignant neoplasms,32591,27708,37381,32591 [27708-37381]
Americas,Canada,2006,Male,Cardiovascular diseases,33881,29357,38698,33881 [29357-38698]
Americas,Canada,2006,Female,Cardiovascular diseases,34216,27286,39887,34216 [27286-39887]
Americas,Canada,2006,Female,Diabetes mellitus,3512,2718,4314,3512 [2718-4314]
Americas,Canada,2006,Male,Malignant neoplasms,36138,30770,41128,36138 [30770-41128]
Americas,Canada,2006,Male,Diabetes mellitus,3799,3186,4498,3799 [3186-4498]
Americas,Canada,2006,Both sexes,Cardiovascular diseases,68097,56643,78585,68097 [56643-78585]
Americas,Canada,2006,Both sexes,Malignant neoplasms,68729,58478,78509,68729 [58478-78509]
Americas,Canada,2006,Female,Respiratory diseases,7239,4360,9123,7239 [4360-9123]
Americas,Canada,2006,Both sexes,Diabetes mellitus,7311,5904,8811,7311 [5904-8811]
Americas,Canada,2006,Male,Respiratory diseases,8048,6540,9494,8048 [6540-9494]
Americas,Canada,2005,Both sexes,Respiratory diseases,16040,11475,19456,16040 [11475-19456]
Americas,Canada,2005,Female,Malignant neoplasms,32170,27474,36786,32170 [27474-36786]
Americas,Canada,2005,Male,Cardiovascular diseases,34743,30243,39496,34743 [30243-39496]
Americas,Canada,2005,Male,Malignant neoplasms,35835,30590,40629,35835 [30590-40629]
Americas,Canada,2005,Female,Cardiovascular diseases,35879,28766,41625,35879 [28766-41625]
Americas,Canada,2005,Female,Diabetes mellitus,3924,3057,4793,3924 [3057-4793]
Americas,Canada,2005,Male,Diabetes mellitus,3992,3351,4727,3992 [3351-4727]
Americas,Canada,2005,Both sexes,Malignant neoplasms,68005,58064,77415,68005 [58064-77415]
Americas,Canada,2005,Both sexes,Cardiovascular diseases,70622,59009,81121,70622 [59009-81121]
Americas,Canada,2005,Female,Respiratory diseases,7591,4574,9524,7591 [4574-9524]
Americas,Canada,2005,Both sexes,Diabetes mellitus,7916,6408,9520,7916 [6408-9520]
Americas,Canada,2005,Male,Respiratory diseases,8449,6901,9933,8449 [6901-9933]
Americas,Canada,2004,Both sexes,Respiratory diseases,15307,11025,18490,15307 [11025-18490]
Americas,Canada,2004,Female,Malignant neoplasms,32159,27589,36730,32159 [27589-36730]
Americas,Canada,2004,Male,Cardiovascular diseases,35459,30951,40211,35459 [30951-40211]
Americas,Canada,2004,Male,Malignant neoplasms,35588,30319,40253,35588 [30319-40253]
Americas,Canada,2004,Female,Cardiovascular diseases,36211,29169,41901,36211 [29169-41901]
Americas,Canada,2004,Female,Diabetes mellitus,3829,3021,4649,3829 [3021-4649]
Americas,Canada,2004,Male,Diabetes mellitus,4035,3393,4770,4035 [3393-4770]
Americas,Canada,2004,Both sexes,Malignant neoplasms,67746,57908,76983,67746 [57908-76983]
Americas,Canada,2004,Both sexes,Cardiovascular diseases,71670,60119,82112,71670 [60119-82112]
Americas,Canada,2004,Female,Respiratory diseases,7179,4368,8971,7179 [4368-8971]
Americas,Canada,2004,Both sexes,Diabetes mellitus,7864,6414,9419,7864 [6414-9419]
Americas,Canada,2004,Male,Respiratory diseases,8128,6657,9520,8128 [6657-9520]
Americas,Canada,2003,Both sexes,Respiratory diseases,14938,10883,17977,14938 [10883-17977]
Americas,Canada,2003,Female,Malignant neoplasms,31688,27229,36161,31688 [27229-36161]
Americas,Canada,2003,Male,Malignant neoplasms,35196,29960,39806,35196 [29960-39806]
Americas,Canada,2003,Female,Cardiovascular diseases,36693,29690,42301,36693 [29690-42301]
Americas,Canada,2003,Male,Cardiovascular diseases,36704,32186,41508,36704 [32186-41508]
Americas,Canada,2003,Female,Diabetes mellitus,4011,3180,4869,4011 [3180-4869]
